Using primary device: cuda:0
Loading fine-tuned model from Qwen/Qwen2.5-1.5B-Instruct...
`torch_dtype` is deprecated! Use `dtype` instead!
Fine-tuned model loaded
Detected 2 GPUs

Starting RL fine-tuning using M3PO (Multi-Path Perception Policy Optimization)...
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: alienpenguin (alienpenguin-inc) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run dhtwwnog
wandb: Tracking run with wandb version 0.24.0
wandb: Run data is saved locally in /mnt/vurm/homes/homes/vk545/Neuralese/M3PO/wandb/run-20260214_173959-dhtwwnog
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run M3PO kl_divergence
wandb: ⭐️ View project at https://wandb.ai/alienpenguin-inc/latent-space-reasoning
wandb: 🚀 View run at https://wandb.ai/alienpenguin-inc/latent-space-reasoning/runs/dhtwwnog
Weights & Biases initialized.
[M3PO] Training with cross-path interaction: lambda=0.1, temp=0.1
[M3PO] Using kl_divergence gating function with config: {'temperature': 0.1, 'debug': False}
Model wrapped with DataParallel across GPUs: [0, 1]

Iteration 1/1
/homes/vk545/Neuralese/miniconda3/envs/ant/lib/python3.11/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
Iteration 1/1, Step 69/500, GRPO iter 1/1, loss: 0.0000
Iteration 1/1, Step 70/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 71/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 72/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 73/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 74/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 75/500, GRPO iter 1/1, loss: 0.0000
Iteration 1/1, Step 76/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 77/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 78/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 79/500, GRPO iter 1/1, loss: 0.0002
Iteration 1/1, Step 80/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 81/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 82/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 83/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 84/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 85/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 86/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 87/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 88/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 89/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 90/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 91/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 92/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 93/500, GRPO iter 1/1, loss: 0.0005
Iteration 1/1, Step 94/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 95/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 96/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 97/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 98/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 99/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 100/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 101/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 102/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 103/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 104/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 105/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 106/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 107/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 108/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 109/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 110/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 111/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 112/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 113/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 114/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 115/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 116/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 117/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 118/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 119/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 120/500, GRPO iter 1/1, loss: 0.0000
Iteration 1/1, Step 121/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 122/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 123/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 124/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 125/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 126/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 127/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 128/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 129/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 130/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 131/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 132/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 133/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 134/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 135/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 136/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 137/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 138/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 139/500, GRPO iter 1/1, loss: 0.0002
Iteration 1/1, Step 140/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 141/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 142/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 143/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 144/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 145/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 146/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 147/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 148/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 149/500, GRPO iter 1/1, loss: 0.0001
